year,att,ci_lower,ci_upper
1990,-381.7484564788174,NA,NA
1991,-312.7440052202437,NA,NA
1992,-372.4645656118737,NA,NA
1993,104.38866119409067,NA,NA
1994,229.89699866028968,NA,NA
1995,1161.7483600809355,NA,NA
1996,181.57958196484105,NA,NA
1997,11.075560898389085,NA,NA
1998,-629.9846501394204,NA,NA
1999,-802.511042580154,-14542.877247959075,12937.855162798767
2000,559.9427139785912,-13180.42349140033,14300.308919357512
2001,2003.613652241118,-11736.752553137803,15743.97985762004
2002,3213.7736707404765,-10526.592534638445,16954.1398761194
2003,3633.8872924902244,-10106.478912888697,17374.253497869147
2004,3827.4210174546097,-9912.945187924312,17567.787222833533
2005,5741.603343725532,-7998.762861653389,19481.969549104455
2006,5692.407652888294,-8047.958552490627,19432.773858267217
2007,6666.371243702473,-7073.994961676448,20406.737449081396
2008,5970.304473505392,-7770.061731873529,19710.670678884315
2009,5738.911563295602,-8001.454642083319,19479.277768674525
2010,5650.25881943899,-8090.107385939931,19390.625024817913
2011,6479.309055874546,-7261.057149504375,20219.67526125347
2012,7306.689420900657,-6433.676784478264,21047.05562627958
2013,8667.389840421922,-5072.9763649569995,22407.756045800845
2014,9030.090583786921,-4710.275621592,22770.456789165844
2015,8290.96221395144,-5449.403991427482,22031.328419330363
2016,8587.62823160072,-5152.737973778201,22327.994436979643
2017,8677.0709473733,-5063.295258005621,22417.437152752223
2018,9608.021067035937,-4132.345138342984,23348.38727241486
2019,8382.569597501075,-5357.796607877846,22122.935802879998
2020,7490.59837210313,-6249.767833275791,21230.964577482053
2021,9894.702074136985,-3845.664131241936,23635.06827951591
2022,9638.785762012521,-4101.5804433664,23379.151967391444
