lb,ub,method,Delta,M,outcome,Mbar
0.01622206301950651,0.13223799009843026,Smoothness (Delta^SD),DeltaSD,0,ln_estab,NA
0.014158605421031117,0.13430144769690566,Smoothness (Delta^SD),DeltaSD,0.006,ln_estab,NA
0.010711525849076045,0.13774852726886072,Smoothness (Delta^SD),DeltaSD,0.01,ln_estab,NA
0.008510834341919224,0.13994921877601757,Smoothness (Delta^SD),DeltaSD,0.012,ln_estab,NA
-0.0019881064966736223,0.14914519128669274,Smoothness (Delta^SD),DeltaSD,0.02,ln_estab,NA
-0.04198447362453535,0.18730579602502323,Smoothness (Delta^SD),DeltaSD,0.05,ln_estab,NA
-0.10548424234625414,0.24726654775803297,Smoothness (Delta^SD),DeltaSD,0.1,ln_estab,NA
-0.22893681136730681,0.3401252992116154,Smoothness (Delta^SD),DeltaSD,0.2,ln_estab,NA
-0.5289368113140732,0.6401252991583818,Smoothness (Delta^SD),DeltaSD,0.5,ln_estab,NA
-0.10237266184836558,0.10030452726557049,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,0
-0.18302991057738094,0.16028043016663318,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,0.25
-0.2678234284719868,0.24300581347844363,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,0.5
-0.3588213501149785,0.34020813886982126,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,0.75
-0.4498192717579702,0.439478598843994,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,1
-0.5428853279837571,0.5387490588181667,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,1.25
-0.6359513842095441,0.6400876533751347,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,1.5
-0.729017440435331,0.7414262479321025,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,1.75
-0.8200153620783227,0.8427648424890706,Relative Magnitudes (Delta^RM),DeltaRM,NA,ln_estab,2
