year,actual,synthetic,fips,gap_loo,is_treated
1990,36087.005845447595,36967.87622659027,48091,-880.8703811426749,TRUE
1991,36252.54227606461,37027.20075954216,48091,-774.6584834775495,TRUE
1992,37231.52111903064,37541.18660851555,48091,-309.66548948490527,TRUE
1993,38461.64300346021,38213.18823959093,48091,248.45476386928203,TRUE
1994,39319.36346153846,38819.72779784464,48091,499.6356636938217,TRUE
1995,41188.98946194225,39423.51233680623,48091,1765.4771251360216,TRUE
1996,40456.332606755896,39705.89823351898,48091,750.4343732369161,TRUE
1997,41411.37252959501,41065.311591289246,48091,346.0609383057672,TRUE
1998,42360.85073006134,42934.85357451457,48091,-574.002844453229,TRUE
1999,42560.89415966386,42467.32473345402,48091,93.56942620984046,TRUE
2000,44140.651910569104,43824.59178065222,48091,316.06012991688476,TRUE
2001,46394.53877470355,45399.21997123174,48091,995.3188034718114,TRUE
2002,46394.64112840466,44495.18051487696,48091,1899.460613527699,TRUE
2003,46353.89404891304,44092.930042963766,48091,2260.964005949274,TRUE
2004,47658.76461090524,45040.400374664474,48091,2618.3642362407627,TRUE
2005,50442.30365591397,46563.377206375466,48091,3878.926449538507,TRUE
2006,51730.105381944435,48199.25897450164,48091,3530.8464074427975,TRUE
2007,53371.92048885416,48825.234427561365,48091,4546.686061292792,TRUE
2008,54171.645146607334,50540.46085464637,48091,3631.1842919609626,TRUE
2009,52867.958739052,48266.43561976478,48091,4601.523119287223,TRUE
2010,53844.97480463733,49462.067181455175,48091,4382.907623182153,TRUE
2011,54944.942824499085,50013.756257386056,48091,4931.186567113029,TRUE
2012,56677.25754592889,50541.63761547512,48091,6135.619930453773,TRUE
2013,57864.37893688535,50697.16779327773,48091,7167.211143607616,TRUE
2014,59424.551889024064,52014.63508818593,48091,7409.916800838131,TRUE
2015,60154.50022150309,53498.93659567832,48091,6655.563625824769,TRUE
2016,60637.648701912854,53518.32823724527,48091,7119.320464667588,TRUE
2017,61711.51483763054,54089.11116681422,48091,7622.4036708163185,TRUE
2018,62683.90525951087,55311.57196701882,48091,7372.333292492054,TRUE
2019,63176.905294985074,57000.01397324975,48091,6176.891321735326,TRUE
2020,64480,58733.27366080857,48091,5746.726339191431,TRUE
2021,68257.25838284679,61052.75779335965,48091,7204.500589487143,TRUE
2022,64361.60994344877,58653.27370057901,48091,5708.336242869758,TRUE
