year,actual,synthetic,fips,gap,is_treated
1990,36087.005845447595,36238.59237439518,48091,-151.58652894758416,TRUE
1991,36252.54227606461,36156.3983396772,48091,96.14393638740876,TRUE
1992,37231.52111903064,37646.89868407951,48091,-415.37756504886784,TRUE
1993,38461.64300346021,38378.55675109627,48091,83.08625236393709,TRUE
1994,39319.36346153846,39236.81542396151,48091,82.54803757694754,TRUE
1995,41188.98946194225,39672.99197121836,48091,1515.9974907238866,TRUE
1996,40456.332606755896,40278.939317713186,48091,177.3932890427095,TRUE
1997,41411.37252959501,41696.99095444544,48091,-285.6184248504287,TRUE
1998,42360.85073006134,43548.08262451982,48091,-1187.2318944584767,TRUE
1999,42560.89415966386,45355.84547213337,48091,-2794.9513124695077,TRUE
2000,44140.651910569104,46000.078786783044,48091,-1859.42687621394,TRUE
2001,46394.53877470355,46442.34862391657,48091,-47.80984921302297,TRUE
2002,46394.64112840466,44721.78077777068,48091,1672.860350633986,TRUE
2003,46353.89404891304,43719.97113877809,48091,2633.9229101349483,TRUE
2004,47658.76461090524,44871.039706484444,48091,2787.724904420793,TRUE
2005,50442.30365591397,46766.77372718709,48091,3675.5299287268863,TRUE
2006,51730.105381944435,48444.01843056246,48091,3286.086951381978,TRUE
2007,53371.92048885416,49468.639533711364,48091,3903.2809551427927,TRUE
2008,54171.645146607334,50874.04096134803,48091,3297.6041852593044,TRUE
2009,52867.958739052,50576.5713290544,48091,2291.387409997602,TRUE
2010,53844.97480463733,51325.38667213156,48091,2519.5881325057708,TRUE
2011,54944.942824499085,52057.907154372835,48091,2887.03567012625,TRUE
2012,56677.25754592889,52877.11277313714,48091,3800.144772791755,TRUE
2013,57864.37893688535,52767.2519259976,48091,5097.127010887743,TRUE
2014,59424.551889024064,53291.79622354586,48091,6132.755665478202,TRUE
2015,60154.50022150309,54876.14262218214,48091,5278.357599320952,TRUE
2016,60637.648701912854,55201.70106309819,48091,5435.947638814665,TRUE
2017,61711.51483763054,56297.76442539375,48091,5413.75041223679,TRUE
2018,62683.90525951087,56455.05443861997,48091,6228.850820890904,TRUE
2019,63176.905294985074,57888.18593852101,48091,5288.719356464062,TRUE
2020,64480,60133.60173748354,48091,4346.398262516457,TRUE
2021,68257.25838284679,61845.19506238767,48091,6412.063320459121,TRUE
2022,64361.60994344877,57742.331596343625,48091,6619.278347105144,TRUE
1990,32578.10690130069,32659.014318073994,48027,-80.90741677330516,FALSE
1991,30587.96378120411,32307.74684966624,48027,-1719.7830684621294,FALSE
1992,33981.1648681397,32946.259936864575,48027,1034.904931275123,FALSE
1993,34458.580131487885,33394.341252897546,48027,1064.2388785903386,FALSE
1994,33785.139041835355,33611.5885290832,48027,173.55051275215374,FALSE
1995,34377.36924540682,33680.92072976861,48027,696.4485156382143,FALSE
1996,34295.34417463352,34273.88860477258,48027,21.45556986094016,FALSE
1997,34056.62504672897,34843.99113199716,48027,-787.366085268186,FALSE
1998,35763.551926380365,36147.84151455385,48027,-384.2895881734876,FALSE
1999,37521.38105042016,36162.344659120885,48027,1359.0363912992761,FALSE
2000,37399.84276422765,36589.83734057709,48027,810.0054236505603,FALSE
2001,38226.866956521735,36848.60510699876,48027,1378.2618495229763,FALSE
2002,39719.36019455252,36711.37101721846,48027,3007.989177334064,FALSE
2003,41515.25361413044,37191.314734413165,48027,4323.938879717272,FALSE
2004,41811.19791953414,36880.40523480967,48027,4930.792684724474,FALSE
2005,43213.353297491034,37804.96647805468,48027,5408.386819436353,FALSE
2006,45246.992534722216,38416.58156144061,48027,6830.410973281607,FALSE
2007,46549.08225058116,39161.40615138474,48027,7387.676099196418,FALSE
2008,47572.23691727472,40223.2079144271,48027,7349.029002847623,FALSE
2009,48716.839580119035,39737.4339467681,48027,8979.405633350936,FALSE
2010,47112.86932714531,41114.87915127365,48027,5997.990175871659,FALSE
2011,47603.07240185117,41839.36037558715,48027,5763.7120262640165,FALSE
2012,45613.249057031106,42661.44925949986,48027,2951.7997975312464,FALSE
2013,43674.9186845641,42559.65870149473,48027,1115.2599830693725,FALSE
2014,43661.01863256961,43896.55760069601,48027,-235.5389681263987,FALSE
2015,44930.516448187256,45104.330135507334,48027,-173.81368732007832,FALSE
2016,44049.42580424737,44423.270590465414,48027,-373.8447862180474,FALSE
2017,44603.50801240208,44719.94184496435,48027,-116.43383256226662,FALSE
2018,43813.18242422552,45446.495858322894,48027,-1633.3134340973775,FALSE
2019,43905.048834962465,46915.1893884446,48027,-3010.140553482139,FALSE
2020,46377,48986.11932219656,48027,-2609.1193221965586,FALSE
2021,47906.34877292688,50640.984199231454,48027,-2734.6354263045723,FALSE
2022,44130.2137704806,48208.085701586686,48027,-4077.871931106085,FALSE
1990,27102.878018362662,26445.334293417323,48041,657.5437249453389,FALSE
1991,27104.84657856094,26432.96421524798,48041,671.8823633129614,FALSE
1992,27129.959921596575,27452.457740812304,48041,-322.49781921572867,FALSE
1993,27215.45429065744,27318.137705324818,48041,-102.68341466737911,FALSE
1994,27096.56866396761,27697.644059083526,48041,-601.0753951159168,FALSE
1995,27266.85968503937,27658.227163469164,48041,-391.3674784297946,FALSE
1996,27736.81940726577,28292.81672082485,48041,-555.9973135590772,FALSE
1997,28841.7043364486,29645.99161716536,48041,-804.2872807167587,FALSE
1998,29545.736736196315,29455.914243735417,48041,89.8224924608985,FALSE
1999,29844.046344537812,30675.57733859303,48041,-831.5309940552179,FALSE
2000,30371.96682926829,29976.917425074636,48041,395.0494041936545,FALSE
2001,31257.529525691694,30481.871008423106,48041,775.6585172685882,FALSE
2002,31228.517937743185,30509.607963701772,48041,718.9099740414131,FALSE
2003,32330.27627717391,30896.05814703954,48041,1434.2181301343699,FALSE
2004,32368.5011911064,31651.992774444858,48041,716.5084166615416,FALSE
2005,32729.718781362004,31696.3251587015,48041,1033.3936226605038,FALSE
2006,33302.659479166665,32132.79525727694,48041,1169.8642218897257,FALSE
2007,33488.82676447608,33772.35199422439,48041,-283.52522974830936,FALSE
2008,35029.755047537656,34637.879507517544,48041,391.87554002011166,FALSE
2009,34905.10948694164,34878.08155228178,48041,27.027934659861785,FALSE
2010,35944.12593095351,36029.625936322576,48041,-85.50000536906737,FALSE
2011,36139.81350499469,36164.24958049352,48041,-24.436075498830178,FALSE
2012,37069.7828993789,36432.910778033074,48041,636.8721213458266,FALSE
2013,37364.54174804792,37319.744382324156,48041,44.79736572376714,FALSE
2014,38710.794720701546,38844.788976177355,48041,-133.99425547580904,FALSE
2015,38674.72796466076,40563.93288787124,48041,-1889.2049232104837,FALSE
2016,38226.34814401246,40376.24218951001,48041,-2149.8940454975527,FALSE
2017,39292.56100685378,40574.13901438872,48041,-1281.5780075349394,FALSE
2018,41110.73907537424,41687.12402561612,48041,-576.3849502418816,FALSE
2019,41378.25607747881,43066.345873336504,48041,-1688.089795857697,FALSE
2020,43224,44830.98965060263,48041,-1606.989650602627,FALSE
2021,46274.99036424696,46749.763651437956,48041,-474.7732871909975,FALSE
2022,42602.04781397892,44021.93751871006,48041,-1419.8897047311402,FALSE
1990,31283.061805661822,30868.281063218215,48063,414.78074244360687,FALSE
1991,30739.981989720996,30660.641623031668,48063,79.34036668932822,FALSE
1992,31118.19500356379,31470.78509410085,48063,-352.59009053706177,FALSE
1993,31954.650871972317,32014.693012609023,48063,-60.04214063670588,FALSE
1994,32632.539446693656,32375.80391321918,48063,256.73553347447523,FALSE
1995,31784.16454068241,32659.654140483155,48063,-875.489599800745,FALSE
1996,33447.486596558316,33286.35913320177,48063,161.1274633565481,FALSE
1997,34890.302847352024,34843.75817449973,48063,46.54467285229475,FALSE
1998,36855.956638036805,36488.774341868855,48063,367.18229616794997,FALSE
1999,36576.860714285714,37591.12501189442,48063,-1014.2642976087081,FALSE
2000,36140.35601626016,38472.664045001584,48063,-2332.308028741427,FALSE
2001,37325.193399209486,39063.67233848942,48063,-1738.4789392799357,FALSE
2002,37190.234357976646,38761.16937538512,48063,-1570.9350174084757,FALSE
2003,36670.98685326087,37908.99532976906,48063,-1238.008476508192,FALSE
2004,37532.390333509786,38759.71670255629,48063,-1227.3263690465028,FALSE
2005,37305.62448028674,39413.7674692941,48063,-2108.142989007363,FALSE
2006,37118.067673611105,41004.09741574642,48063,-3886.029742135317,FALSE
2007,36993.863312787566,42371.83889562915,48063,-5377.975582841587,FALSE
2008,38733.357370775135,43213.350876356,48063,-4479.993505580867,FALSE
2009,39022.45028596465,41474.14175450934,48063,-2451.69146854469,FALSE
2010,38842.53946692592,42285.3425472082,48063,-3442.803080282283,FALSE
2011,38184.39957944154,44226.47390613978,48063,-6042.074326698239,FALSE
2012,38901.57238429575,45031.527298941655,48063,-6129.954914645903,FALSE
2013,40570.83538163696,45187.208819651205,48063,-4616.373438014241,FALSE
2014,42103.14118680725,46345.343083217616,48063,-4242.20189641037,FALSE
2015,44225.11596636528,46980.177761631785,48063,-2755.061795266505,FALSE
2016,40802.52083480898,46907.94209996391,48063,-6105.4212651549315,FALSE
2017,40745.416489882504,48421.364560110254,48063,-7675.948070227751,FALSE
2018,41077.757310628534,48414.00082126116,48063,-7336.243510632623,FALSE
2019,40891.32205650539,50401.9969715982,48063,-9510.674915092808,FALSE
2020,44747,52784.83366138948,48063,-8037.833661389479,FALSE
2021,47756.393696719184,53871.82148374687,48063,-6115.427787027686,FALSE
2022,43802.11795458817,51594.60313525748,48063,-7792.485180669311,FALSE
1990,29302.870527926552,28552.535441614342,48097,750.3350863122105,FALSE
1991,28761.845051395005,28263.03999796262,48097,498.80505343238474,FALSE
1992,28734.846379187453,29325.807400062,48097,-590.9610208745471,FALSE
1993,29085.34137716263,29744.42714733379,48097,-659.0857701711611,FALSE
1994,29476.86146423751,29748.67775086104,48097,-271.81628662352887,FALSE
1995,30104.610216535428,30124.397242610514,48097,-19.787026075086033,FALSE
1996,30856.07753983429,30723.646142231795,48097,132.43139760249323,FALSE
1997,32327.993320872272,32251.672003549334,48097,76.32131732293783,FALSE
1998,33440.60411656441,33355.05458520567,48097,85.5495313587453,FALSE
1999,34614.80613445378,33489.94740199327,48097,1124.8587324605105,FALSE
2000,36272.61715447155,33654.5505061706,48097,2618.066648300948,FALSE
2001,36305.14778656126,35611.62942725361,48097,693.5183593076508,FALSE
2002,35776.05307392996,35346.10287356443,48097,429.9502003655289,FALSE
2003,37152.03773369565,35299.73421074942,48097,1852.303522946233,FALSE
2004,37395.38080465854,34972.78446010396,48097,2422.5963445545785,FALSE
2005,39076.08784946236,35290.136705340425,48097,3785.9511441219365,FALSE
2006,41866.787361111106,35442.996983475256,48097,6423.790377635851,FALSE
2007,43287.45101812464,36810.91697741654,48097,6476.534040708095,FALSE
2008,49684.287966261494,37946.060535325145,48097,11738.22743093635,FALSE
2009,44406.47958161062,37477.20655281165,48097,6929.273028798969,FALSE
2010,47105.747917966015,38509.69886458356,48097,8596.049053382456,FALSE
2011,49607.38806965444,39160.67150073736,48097,10446.71656891708,FALSE
2012,51624.9003327613,39800.84626762353,48097,11824.054065137774,FALSE
2013,54475.88427907296,40316.53212044586,48097,14159.352158627102,FALSE
2014,57115.61352730468,42069.571027061844,48097,15046.042500242838,FALSE
2015,52962.90955079171,42515.54018701943,48097,10447.369363772275,FALSE
2016,49309.60595732624,41564.306707975455,48097,7745.2992493507845,FALSE
2017,52321.80276599216,42566.261613589326,48097,9755.541152402831,FALSE
2018,52179.21318800352,43531.22907904542,48097,8647.984108958102,FALSE
2019,52884.47662297531,45326.93498719113,48097,7557.541635784175,FALSE
2020,54503,47404.530964582416,48097,7098.469035417584,FALSE
2021,56198.768974425206,49686.55108678863,48097,6512.217887636572,FALSE
2022,53407.985211255575,47532.587058643105,48097,5875.39815261247,FALSE
1990,37728.58441469013,38068.826863336486,48121,-340.24244864635693,FALSE
1991,37738.52026431718,37327.73247382361,48121,410.7877904935667,FALSE
1992,38011.82798289379,38153.332418461425,48121,-141.5044355676364,FALSE
1993,38585.22749480969,38858.72337148055,48121,-273.4958766708587,FALSE
1994,39060.90173414304,39411.811762299905,48121,-350.91002815686807,FALSE
1995,40090.23147637795,39911.82812164257,48121,178.4033547353829,FALSE
1996,40758.196297004455,41043.571375463864,48121,-285.37507845940854,FALSE
1997,42557.881071651085,42887.852463491094,48121,-329.97139184000844,FALSE
1998,45253.8178588957,44210.832743042396,48121,1042.9851158533056,FALSE
1999,46452.38008403361,44263.64519492063,48121,2188.7348891129805,FALSE
2000,49316.871910569105,45810.69792094877,48121,3506.173989620336,FALSE
2001,49282.2323715415,51157.13338292636,48121,-1874.9010113848635,FALSE
2002,47485.128832684815,49786.91960315098,48121,-2301.790770466163,FALSE
2003,46165.412125,50118.4918714059,48121,-3953.0797464058996,FALSE
2004,46592.83047644256,50491.85719467287,48121,-3899.026718230307,FALSE
2005,49011.09075268816,52701.279630455574,48121,-3690.1888777674176,FALSE
2006,50831.45607638888,54120.33221618842,48121,-3288.8761397995404,FALSE
2007,51510.80599685543,53113.55964718526,48121,-1602.7536503298325,FALSE
2008,52244.71410988235,61381.5076148265,48121,-9136.793504944151,FALSE
2009,49896.66943697356,53237.944345948585,48121,-3341.2749089750214,FALSE
