year,actual,synthetic,gap,post,sector,emp_col
1990,6.714170529909472,6.767438835186451,-0.0532683052769789,FALSE,construction,construction_emp
1991,6.80128303447162,6.746763373515807,0.05451966095581273,FALSE,construction,construction_emp
1992,6.878326468291325,6.835362349711662,0.04296411857966298,FALSE,construction,construction_emp
1993,6.926577033222725,6.970990345595607,-0.04441331237288182,FALSE,construction,construction_emp
1994,6.999422467507961,7.018862369558004,-0.019439902050042868,FALSE,construction,construction_emp
1995,7.095064377287131,7.137380614017288,-0.04231623673015683,FALSE,construction,construction_emp
1996,7.200424892944957,7.192968359252162,0.0074565336927951975,FALSE,construction,construction_emp
1997,7.31455283232408,7.284503066247305,0.030049766076774453,FALSE,construction,construction_emp
1998,7.390798521735676,7.366094971412241,0.024703550323435408,FALSE,construction,construction_emp
1999,7.591861714889934,7.321567351963182,0.2702943629267516,TRUE,construction,construction_emp
2000,7.6362696033793735,7.345224128207275,0.29104547517209856,TRUE,construction,construction_emp
2001,7.821242083523558,7.385990188620445,0.43525189490311256,TRUE,construction,construction_emp
2002,7.860956364876389,7.4208489718793915,0.44010739299699786,TRUE,construction,construction_emp
2003,7.88570539124302,7.428316483467688,0.45738890777533214,TRUE,construction,construction_emp
2004,7.9391588179567965,7.46005855755137,0.47910026040542686,TRUE,construction,construction_emp
2005,8.246433786160365,7.507090016239604,0.7393437699207608,TRUE,construction,construction_emp
2006,8.260751354700513,7.55162655533317,0.7091247993673431,TRUE,construction,construction_emp
2007,8.39502555744203,7.6432940699576575,0.7517314874843732,TRUE,construction,construction_emp
2008,8.450412157725886,7.653725876943302,0.7966862807825841,TRUE,construction,construction_emp
2009,8.251663923605589,7.626087717771245,0.6255762058343439,TRUE,construction,construction_emp
2010,8.145549631783584,7.635475077696069,0.5100745540875158,TRUE,construction,construction_emp
2011,8.144679183447758,7.698841472445315,0.4458377110024436,TRUE,construction,construction_emp
2012,8.203577736937952,7.769481410858146,0.4340963260798061,TRUE,construction,construction_emp
2013,8.283241441385425,7.79755108034048,0.4856903610449441,TRUE,construction,construction_emp
2014,8.353497098745448,7.860705774352676,0.4927913243927726,TRUE,construction,construction_emp
2015,8.483636407887394,7.837606078867409,0.6460303290199851,TRUE,construction,construction_emp
2016,8.553910774351401,7.749772626951043,0.8041381474003577,TRUE,construction,construction_emp
1990,8.002694162283937,8.020307775992526,-0.017613613708588716,FALSE,retail,retail_emp
1991,8.082402253926244,8.093600642316876,-0.01119838839063192,FALSE,retail,retail_emp
1992,8.15162164696975,8.15780048043414,-0.006178833464391076,FALSE,retail,retail_emp
1993,8.200013648175434,8.166359549529583,0.033654098645850894,FALSE,retail,retail_emp
1994,8.237479288613633,8.23847054517925,-9.912565656176042e-4,FALSE,retail,retail_emp
1995,8.290041618704489,8.313564923210917,-0.023523304506428033,FALSE,retail,retail_emp
1996,8.381144346952961,8.354360007483871,0.026784339469090312,FALSE,retail,retail_emp
1997,8.37378460812088,8.375995558657944,-0.0022109505370639937,FALSE,retail,retail_emp
1998,8.441391477999955,8.438062953692947,0.0033285243070082515,FALSE,retail,retail_emp
1999,8.473659189392508,8.419545582250546,0.05411360714196256,TRUE,retail,retail_emp
