year,actual,synthetic,gap,post
1990,36087.005845447595,36238.59237439487,-151.58652894727857,FALSE
1991,36252.54227606461,36156.398339677115,96.14393638749607,FALSE
1992,37231.52111903064,37646.898684078034,-415.3775650473908,FALSE
1993,38461.64300346021,38378.55675109469,83.08625236551597,FALSE
1994,39319.36346153846,39236.81542396059,82.54803757787158,FALSE
1995,41188.98946194225,39672.99197121697,1515.9974907252763,FALSE
1996,40456.332606755896,40278.93931771239,177.3932890435026,FALSE
1997,41411.37252959501,41696.990954443754,-285.6184248487407,FALSE
1998,42360.85073006134,43548.08262451733,-1187.2318944559884,FALSE
1999,42560.89415966386,45355.84547212866,-2794.9513124648,TRUE
2000,44140.651910569104,46000.07878677714,-1859.4268762080392,TRUE
2001,46394.53877470355,46442.34862390841,-47.80984920485935,TRUE
2002,46394.64112840466,44721.780777763175,1672.8603506414875,TRUE
2003,46353.89404891304,43719.971138770685,2633.9229101423552,TRUE
2004,47658.76461090524,44871.03970647588,2787.7249044293567,TRUE
2005,50442.30365591397,46766.77372717628,3675.529928737691,TRUE
2006,51730.105381944435,48444.018430549826,3286.086951394609,TRUE
2007,53371.92048885416,49468.63953369796,3903.280955156195,TRUE
2008,54171.645146607334,50874.040961334846,3297.6041852724884,TRUE
2009,52867.958739052,50576.571329042,2291.38741001,TRUE
2010,53844.97480463733,51325.38667212111,2519.588132516219,TRUE
2011,54944.942824499085,52057.90715436159,2887.0356701374985,TRUE
2012,56677.25754592889,52877.112773128305,3800.144772800588,TRUE
2013,57864.37893688535,52767.251925989185,5097.127010896162,TRUE
2014,59424.551889024064,53291.79622353766,6132.755665486402,TRUE
2015,60154.50022150309,54876.1426221728,5278.3575993302875,TRUE
2016,60637.648701912854,55201.70106308883,5435.947638824022,TRUE
2017,61711.51483763054,56297.7644253835,5413.750412247035,TRUE
2018,62683.90525951087,56455.05443860983,6228.85082090104,TRUE
2019,63176.905294985074,57888.185938511,5288.719356474074,TRUE
2020,64480,60133.60173747339,4346.398262526607,TRUE
2021,68257.25838284679,61845.19506237549,6412.063320471301,TRUE
2022,64361.60994344877,57742.33159633175,6619.278347117019,TRUE
